# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g808481ec7" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:45" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
nₑ₀_>_nₑ_pedestal_constraint______physical_value_________________________ (ineq_value_con081)____________ 1.06654018659230548e+20 
nₑ₀_>_nₑ_pedestal_constraint______symbol_________________________________ (ineq_symbol_con081)___________         '>=' 
nₑ₀_>_nₑ_pedestal_constraint______units__________________________________ (ineq_units_con081)____________        '/m³' 
nₑ₀_>_nₑ_pedestal_constraint______physical_bound_________________________ (ineq_bound_con081)____________ 6.36066779696326902e+19 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______normalised_residue___________________ (ineq_con068)__________________ 1.27110148764320030e-05 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______physical_value_______________________ (ineq_value_con068)____________ 9.99987288985123612e+00 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______symbol_______________________________ (ineq_symbol_con068)___________         '<=' 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______units________________________________ (ineq_units_con068)____________      'MWT/m' 
(PₛₑₚBₜ_/_q₉₅AR₀)_upper_limit_______physical_bound_______________________ (ineq_bound_con068)____________ 1.00000000000000000e+01 
TF_coil_case_stress_upper_limit___normalised_residue_____________________ (ineq_con031)__________________ 2.23658175407814852e-05 
TF_coil_case_stress_upper_limit___physical_value_________________________ (ineq_value_con031)____________ 7.49983225636844397e+08 
TF_coil_case_stress_upper_limit___symbol_________________________________ (ineq_symbol_con031)___________         '<=' 
TF_coil_case_stress_upper_limit___units__________________________________ (ineq_units_con031)____________         'Pa' 
TF_coil_case_stress_upper_limit___physical_bound_________________________ (ineq_bound_con031)____________ 7.50000000000000000e+08 
TF_coil_conduit_stress_upper_limit__normalised_residue___________________ (ineq_con032)__________________ 1.34747044445607145e-01 
TF_coil_conduit_stress_upper_limit__physical_value_______________________ (ineq_value_con032)____________ 6.48939716665794611e+08 
