# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gf4541d832" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:38" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
# Numerics #
# PROCESS found a feasible solution #
Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 4.08679016552774428e+01 
Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 8.17358033105548856e+01 
Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 2.10379650798507249e+01 
Divertor_cost_(M$)_______________________________________________________ (c2215)________________________ 4.39383148531068528e+01 
Total_account_221_cost_(M$)______________________________________________ (c221)_________________________ 6.41373704248937429e+02 
# Magnets #
TF_coil_conductor_cost_(M$)______________________________________________ (c22211)_______________________ 3.59727271476709518e+01 
TF_coil_winding_cost_(M$)________________________________________________ (c22212)_______________________ 1.65327291656026105e+01 
TF_coil_case_cost_(M$)___________________________________________________ (c22213)_______________________ 2.26755345127522645e+02 
TF_intercoil_structure_cost_(M$)_________________________________________ (c22214)_______________________ 6.75614194681104578e+01 
TF_coil_gravity_support_structure_(M$)___________________________________ (c22215)_______________________ 1.11527651791765265e+01 
TF_magnet_assemblies_cost_(M$)___________________________________________ (c2221)________________________ 3.57974986088083199e+02 
PF_coil_conductor_cost_(M$)______________________________________________ (c22221)_______________________ 2.40112616058752167e+02 
PF_coil_winding_cost_(M$)________________________________________________ (c22222)_______________________ 3.16199810446464511e+01 
PF_coil_case_cost_(M$)___________________________________________________ (c22223)_______________________ 1.02824541730802196e+02 
PF_coil_support_structure_cost_(M$)______________________________________ (c22224)_______________________ 1.02925319711368974e+01 
PF_magnet_assemblies_cost_(M$)___________________________________________ (c2222)________________________ 3.84849670805337723e+02 
Vacuum_vessel_assembly_cost_(M$)_________________________________________ (c2223)________________________ 1.26408983283886116e+02 
Total_account_222_cost_(M$)______________________________________________ (c222)_________________________ 8.69233640177307052e+02 
# Power Injection #
ECH_system_cost_(M$)_____________________________________________________ (c2231)________________________ 3.58741251629242811e+02 
Lower_hybrid_system_cost_(M$)____________________________________________ (c2232)________________________ 0.00000000000000000e+00 
Neutral_beam_system_cost_(M$)____________________________________________ (c2233)________________________ 0.00000000000000000e+00 
Total_account_223_cost_(M$)______________________________________________ (c223)_________________________ 3.58741251629242811e+02 
# Vacuum Systems #
